Trinity.gene	allergen	50RH_Bag1_1	50RH_Bag1_2	50RH_Bag1_3	85RH_Bag1_1	85RH_Bag1_2	100RH_Bag1_1	100RH_Bag1_2	100RH_Bag1_3	50RH_Bag2_1	85RH_Bag2_1	100RH_Bag2_1	50RH_Bag3_1	85RH_Bag3_1	100RH_Bag3_1	50RH_Bag4_1	85RH_Bag4_1	100RH_Bag4_1	100RH_Bag4_2	100RH_Bag4_3
TRINITY_DN2762_c0_g1	Alt a 7 (contig 1)	0	0	0.378	52.453	45.296	14.374	5.956	9.014	2.942	2783.528	28.491	13.076	223.045	48.774	4.684	4.743	38.865	26.84	19.506
TRINITY_DN2376_c0_g1	Alt a 7 (contig 2)	0	0	0	14.956	15.9	4.908	1.561	2.962	0.174	1661.816	9.601	6.746	90.925	39.429	1.044	89.932	17.722	12.205	10.373
TRINITY_DN34777_c0_g6	Asp f 15 (contig 1)	0	0	0	1.007	2.949	13.681	1.541	9.36	0	232.603	13.87	0	0	12.508	0	0	54.939	29.627	43.259
TRINITY_DN15339_c0_g3	Asp f 15 (contig 2)	0	0	0	0	0	5.714	1.012	6.439	0	74.109	5.884	0	104.09	22.881	0	0	1.144	0.919	1.099
TRINITY_DN66023_c0_g1	Asp f 15 (contig 3)	0	0	0	0	0	0	0	0	0	56.125	0.043	0	7.378	0	0	0	0	0	0
TRINITY_DN1525_c0_g1	Asp f 4 (contig 1)	0	0	0	0	0	3.472	0.063	2.594	0	415.8	0.267	0	79.496	1.788	0	0	0	0	0
TRINITY_DN21903_c0_g2	Asp f 4 (contig 2)	0	0	0	231.888	224.751	2.876	0.936	4.183	0	3655.047	0.297	0	1281.561	1.145	0	128.874	6.889	1.349	2.893
TRINITY_DN92805_c0_g2	Asp f 4 (contig 3)	0	0	0	0	0	0.42	0.111	0.091	0	0	0.265	0	0	0.48	0	0	0.71	0.104	0.427
TRINITY_DN4312_c0_g1	Asp f 4 (contig 4)	0	0	0	0	5.61	12.897	1.289	30.059	2.942	995.232	6.354	0	72.878	7.783	0	0.459	38.629	11.917	12.521
TRINITY_DN5636_c0_g1	Asp f 7 (contig 1)	0	0	0	19.09	47.22	7.426	1.033	10.829	0.072	698.006	2.076	0	135.013	2.202	0	23.679	11.02	5.689	6.377
TRINITY_DN907_c0_g1	Asp f 7 (contig 2)	0	0	0	0	0	0	0	0.049	0	901.361	0	0	302.18	0	0	111.354	0.699	0	0
TRINITY_DN39498_c0_g1	Cla h 7 (contig 1)	0	0	0	0	0	0	0	0.012	0	295.645	0	0	33.925	0	0	1.454	0.055	0	0.128
TRINITY_DN40822_c0_g2	Mal f 1 (contig 1)	0.377	4.613	5.719	0	1.635	0	0	0	9.868	0	0	1.824	0	0	0	0	0	0	0
TRINITY_DN28676_c0_g2	Mal f 1 (contig 2)	2.072	9.269	0	5.213	2.885	0	0	0	2.033	0	0	0.362	0	0	2.91	2.372	0	0	0
TRINITY_DN5911_c0_g1	Mal f 1 (contig 3)	36.305	28.399	14.361	3.991	1.475	0	0	0	25.315	0	0	26.071	72.516	0	111.622	69.123	0	0	0
TRINITY_DN3847_c0_g1	Mal f 1 (contig 4)	10.953	7.11	7.659	0.647	10.354	0	0	0	0.245	0	0	28.821	65.644	0	2.099	0	0	0	0
