Trinity.gene	50RH_Bag1_1	50RH_Bag1_2	50RH_Bag1_3	85RH_Bag1_1	85RH_Bag1_2	100RH_Bag1_1	100RH_Bag1_2	100RH_Bag1_3	50RH_Bag2_1	85RH_Bag2_1	100RH_Bag2_1	50RH_Bag3_1	85RH_Bag3_1	100RH_Bag3_1	50RH_Bag4_1	85RH_Bag4_1	100RH_Bag4_1	100RH_Bag4_2	100RH_Bag4_3
TRINITY_DN19503_c0_g2	0	0	0	0	0	2.533	0.473	3.228	0	0	0.61	0	0	1.174	0	0	3.833	1.159	1.407
TRINITY_DN2029_c0_g1	0	1.354	0.781	33.687	18.497	11.638	8.171	6.425	54.042	195.054	24.084	74.312	85.934	439.455	77.365	43.073	320.114	307.513	267.893
TRINITY_DN59642_c0_g2	0	0	0	0	0	0.075	0.067	0.244	0	0	0.147	0	0	0.063	0	0	1.137	0.448	0.521
TRINITY_DN10958_c0_g1	0	0	0	0	0	0	0.05	0.018	0	0	0.824	0	0	0.869	5.029	0	0.482	0.812	0.832
TRINITY_DN13153_c0_g1	0	0	0	0	0	2.863	1.194	0.923	0	7.312	3.625	0	5.136	2.824	0	0	9.251	6.975	5.991
TRINITY_DN121182_c0_g1	0	0	0	0	0	0.579	0.051	0.274	0	0	0	0	0	0.15	0	0	1.177	0.11	0.585
TRINITY_DN14516_c0_g1	0	0	0	0	0	0	0	0.004	0	0	1.058	0	0	0.861	0	0	3.255	3.092	0.569
TRINITY_DN45425_c0_g2	0	0	0	0	0	0.022	0.298	0.62	0	0	0.277	0	0	0.48	0	0	0.754	0.371	0.43
TRINITY_DN12166_c0_g1	0	0	0	0	0	1.802	0.102	3.083	0	4.941	0.523	0	0	0.873	0	0	2.935	1.041	0.27
TRINITY_DN33013_c0_g2	0	0	0	0	0	0	0	0	0	0	0.597	0	0	8	0	0	2.387	1.34	1.782
TRINITY_DN2071_c0_g2	0	0	0	0	0	0.274	0.922	0.207	0	0	0.668	0	0	0.439	0	0	0.71	0.457	0.272
TRINITY_DN10280_c0_g1	0	0	0	0	0	2.041	0.023	3.073	0	0	3.209	0	0	1.867	0	0	7.426	2.164	1.366
TRINITY_DN223615_c0_g1	0	0	0	0	0	1.281	0.182	0.685	0	0	0.03	0	0	0.246	0	0	0.349	0.018	0
TRINITY_DN35499_c0_g1	0	0	0	0	0	2.911	0.107	1.211	0	0	0.713	1.18	0	4.061	0	0	8.015	2.007	5.55
TRINITY_DN19657_c0_g1	0	0	0	0	0	0.488	0.725	0.864	0	0	0.346	0	0	0.117	0	0	0.905	0.148	0.242
TRINITY_DN212_c0_g1	0	0	0	2.409	0	5.849	3.085	10.576	0	19.367	4.769	0	0	1.984	0.142	0	6.706	4.625	4.181
TRINITY_DN14565_c0_g2	0	0	0	0	0	0.413	0	0.157	0	0	0.636	0	0	0.205	0	0	3.63	2.164	1.627
TRINITY_DN19619_c0_g1	0	0	0	0	0	4.055	0.549	3.251	0	1.383	2.353	0	0.181	1.6	0	0	11.208	3.489	6.114
TRINITY_DN3296_c0_g2	0	0	0	81.359	45.777	32.453	11.648	15.657	0	583.978	40.083	3.38	158.956	30.184	27.91	1.53	104.64	78.715	77.723
TRINITY_DN11500_c0_g4	0	0	0	0	0	0.015	0.007	0.015	0	0	0.909	3.688	0	19.614	0	0	4.749	2.798	2.851
TRINITY_DN169138_c0_g1	0	0	0	0	0	0.234	0.046	0.231	0	0.79	1.282	1.22	0	4.896	0	0	0.353	0.445	0.343
TRINITY_DN37275_c0_g1	0	0	0	0	0	0.066	0.075	0.063	0	0	0.196	0	0	0.071	0	0	1.538	1.118	0.498
TRINITY_DN6459_c0_g1	0	0	0	0	0	1.721	0.311	1.303	0	0	0.363	0	0	0.13	0	0	2.284	0.762	1.074
TRINITY_DN14565_c0_g1	0	0	0	0	0	0.294	0	0.098	0	0	1.014	0	0	0.334	0	0	1.876	1.559	0.601
TRINITY_DN65279_c0_g1	0	0	0	0	0	0.19	0.018	0.179	0	0	0.151	0	0	1.262	0	0	0.103	0.065	0.085
TRINITY_DN17188_c0_g1	0	0	0	0	0	0	0	0	0	0	1.555	10.984	0	14.927	0	0	3.288	1.752	2.609
TRINITY_DN36875_c0_g1	0	0	0	0	0	0.033	0.04	0.132	0	1.976	0.359	0	0	0.472	0	0	0.368	0.35	0.409
TRINITY_DN20560_c0_g1	0	0	0	0	0	0	0	0	0	0	0.405	0	0	11.434	0	0	3.134	1.589	1.695
